MEDCOD,MEFCOD,MEDNOM,MEDPRES,MEDCNC,MEDTIP,MEDPET,MEDFF,MEDEST,MEDESTVTA,MEDFACTPER,MEDTRANAC,MEDTRALOC,MEDCOMP,MEDPS,MEDCS,MEDHI,MEDACT,MEDINDVCTO,PRDPREADQ,PRDPREDIST,PRDPREOPE,PRDINDACT,PRDSTKMIN,PRDSTKMAX,PRDPTOREP,PRDSIT,PRDADI,PRDFECHULT,MEDREGSAN,PREADQ_DO,PREDIS_DO,PREOPE_DO,PRDTIPOMED,MEDNOMABR,MEDNARCOT,MNARCOT,TIPONC,TCATALOGO,CODIGO_SIG,ESTADO,FECULTPREC,FECHAVRS,PRDSTKPROM,_NullFlags
00002,,ABACAVIR (COMO SULFATO) + LAMIVUDINA + ZIDOVUDINA,,300 mg + 150 mg + 300 mg,M,_,TABLET,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2020-12-28 00:00:00,,6.0,7.0,8.0,X,,,,,,582400200002,C,2019-04-16,,0,b'\x00'
37467,,CAMPO QUIRURGICO ESTERIL DESCARTABLE 1.00 m X 1.00 m,,,I,_,UNIDAD,_,1,,,,,_,_,_,1,,6.08,6.84,7.6,,0,0,0,1,N,2020-12-28 00:00:00,S/REGISTRO,0.0,0.0,0.0,X,,,,,,495700170176,C,2020-12-23,,0,b'\x00'
00004,,ABACAVIR (COMO SULFATO),,300 mg,M,P,TABLET,E,,,,,,_,_,_,1,S,0.54826,0.54826,0.54826,,0,0,0,1,N,2020-12-28 00:00:00,,3.0,3.0,3.0,X,,,,,,582400010001,C,2019-08-16,,0,b'\x00'
00056,,ACETAZOLAMIDA,,250 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.285596,0.342715,0.35,,0,0,0,1,N,2020-12-28 00:00:00,,0.0,0.0,0.0,X,,,,,,580500160001,C,2019-08-16,,0,b'\x00'
00070,,ACETILCISTEINA,1 g,100 mg,M,_,GRANUL,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2020-12-28 00:00:00,,1.422222,1.6,1.8,X,,,,,,585000530005,C,2019-04-16,,0,b'\x00'
00071,,ACETILCISTEINA,1 g,200 mg,M,_,GRANUL,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2020-12-28 00:00:00,,0.0,0.0,0.0,X,,,,,,585000530006,C,,,0,b'\x00'
00072,,ACETILCISTEINA,3 mL,300 mg,M,_,INYECT,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2020-12-28 00:00:00,,7.190124,8.088889,9.1,X,,,,,,580400080001,C,2019-04-16,,0,b'\x00'
00091,,ACIDO ACETILSALICILICO,,100 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.0201,0.022612,0.03,,0,0,0,1,N,2020-12-28 00:00:00,EN-01442,0.0,0.0,0.0,X,,,,,1,580200500001,C,2020-07-01,,0,b'\x00'
00093,,ACIDO ACETILSALICILICO,,25 mg,M,_,TABLET,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2020-12-28 00:00:00,,0.0,0.0,0.0,X,,,,,,580200500004,C,,,0,b'\x00'
00095,,ACIDO ACETILSALICILICO,,500 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.348106,0.417727,0.42,,0,0,0,1,N,2020-12-28 00:00:00,,0.0,0.0,0.0,X,,,,,1,580200500002,C,2019-08-16,,0,b'\x00'
00111,,ACICLOVIR (UNGÜENTO OFTALMICO),3.5 g,3 g/100 g (3 %),M,P,UNGÜEN,_,,,,,,_,_,_,1,S,8.854,9.385,10.0,,0,0,0,1,N,2020-12-28 00:00:00,NG-2229,0.0,0.0,0.0,X,,,,,,584400580002,C,2019-08-16,,0,b'\x00'
00114,,ACICLOVIR (UNGÜENTO OFTALMICO),5 g,3 g/100 g (3 %),M,P,UNGÜEN,_,,,,,,_,_,_,1,S,8.37,9.207,9.4,,0,0,0,1,N,2020-12-28 00:00:00,,0.0,0.0,0.0,X,,,,,,584400580001,C,2019-08-16,,0,b'\x00'
00119,,ACICLOVIR,15 g,5 g/100 g,M,_,CREMA,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2020-12-28 00:00:00,,0.0,0.0,0.0,X,,,,,,582400320013,C,,,0,b'\x00'
00132,,ACICLOVIR (COMO SAL SODICA),10 mL,250 mg,M,P,INYECT,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2020-12-28 00:00:00,,0.0,0.0,0.0,X,,,,,,582400320002,C,,,0,b'\x00'
00143,,ACICLOVIR,,200 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.2004,0.21243,0.23,,0,0,0,1,N,2020-12-28 00:00:00,EN-05086,0.0,0.0,0.0,X,,,,,1,582400320003,C,2019-08-16,,0,b'\x00'
00145,,ACICLOVIR,,400 mg,M,P,TABLET,S,1,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2020-12-28 00:00:00,,0.0,0.0,0.0,X,,,,,1,582400320014,C,2019-04-16,,0,b'\x00'
00200,,ACIDO FOLICO,,500 µg (0.5 mg),M,P,TABLET,_,,,,,,_,_,_,1,S,0.019494,0.024368,0.03,,0,0,0,1,N,2020-12-28 00:00:00,,0.0,0.0,0.0,X,,,,,1,582800250001,C,2019-08-16,,0,b'\x00'
00202,,ACIDO FUSIDICO,15 g,2 g/100 g (2 %),M,P,CREMA,_,,,,,,_,_,_,1,S,7.5,8.4375,9.38,,0,0,0,1,N,2020-12-28 00:00:00,,0.0,0.0,0.0,X,,,,,1,583300110001,C,2021-07-01,,0,b'\x00'
00218,,ACIDO PAMIDRONICO (PAMIDRONATO DISODICO),,90 mg,M,P,INYECT,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2020-12-28 00:00:00,,0.0,0.0,0.0,X,,,,,,586800080001,C,2019-04-16,,0,b'\x00'
00223,,ACIDO TRANEXAMICO,10 mL,1 g,M,P,INYECT,_,,,,,,_,_,_,1,S,9.0,10.125,11.25,,0,0,0,1,N,2020-12-28 00:00:00,,0.0,0.0,0.0,X,,,,,,582800020004,C,2021-07-01,,0,b'\x00'
00225,,ACIDO TRANEXAMICO,,250 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2020-12-28 00:00:00,,0.0,0.0,0.0,X,,,,,,582800020002,C,2019-04-16,,0,b'\x00'
00227,,ACIDO VALPROICO,120 mL,250 mg/5 mL,M,_,JARABE,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2020-12-28 00:00:00,,0.0,0.0,0.0,X,,P,,,,580500050004,C,,,0,b'\x00'
00231,,ACITRETINA,,25 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2020-12-28 00:00:00,,0.0,0.0,0.0,X,,,,,,583300120001,C,2019-04-16,,0,b'\x00'
00234,,ADENOSINA,2 mL,6 mg/2 mL,M,P,INYECT,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2020-12-28 00:00:00,,0.0,0.0,0.0,X,,,,,,583000020001,C,2019-04-16,,0,b'\x00'
00259,,ALBENDAZOL,20 mL,100 mg/5 mL,M,P,SUSPEN,_,,,,,,_,_,_,1,S,1.180238,1.298262,1.4,,0,0,0,1,N,2020-12-28 00:00:00,EN-03937,0.0,1.0,1.0,X,,,,,1,580600040004,C,2019-08-16,,0,b'\x00'
00269,,ALBENDAZOL,,200 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.134159,0.147575,0.16,,0,0,0,1,N,2020-12-28 00:00:00,EN-02282,0.0,0.0,0.0,X,,,,,1,580600040001,C,2019-08-16,,0,b'\x00'
00274,,ALBUMINA HUMANA,50 mL,20 g/100 mL,M,_,INYECT,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2020-12-28 00:00:00,,0.0,0.0,0.0,X,,,,,,582900040002,C,,,0,b'\x00'
00350,,ALCOHOL POLIVINILICO (SOLUCION OFTALMICA),15 mL,14 mg/mL,M,_,SOLUCI,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2020-12-28 00:00:00,,0.0,0.0,0.0,X,,,,,,584400650003,C,2019-04-16,,0,b'\x00'
