ALMCOD,MEDCOD,STKSALDO,STKPRECIO,STKFECHULT,FLG_SOCKET
06162F0102,00946,0,1.0,2020-12-31 15:26:54,
06162F0102,25146,141,0.07,2020-12-31 15:26:54,
06162F0102,03964,0,0.011274,2020-12-31 15:26:54,
06162F0101,00143,332,0.21243,2021-11-25 00:00:00,
06162F0101,00091,0,0.022612,2021-02-27 00:00:00,
06162F0101,00356,57,0.16,2020-12-31 15:27:03,
06162F0101,03513,520,0.146147,2021-02-27 00:00:00,
06162F0101,36412,5,6.532552,2021-07-30 00:00:00,
06162F0101,36413,15,7.25,2020-12-31 15:27:03,
06162F0101,08008,100,0.097876,2021-12-22 00:00:00,
06162F0101,15047,0,0.42,2020-12-31 15:27:03,
06162F0101,10148,546,0.11,2020-12-31 15:27:03,
06162F0101,10151,1613,0.1,2020-12-31 15:27:03,
06162F0101,10155,3594,0.087866,2021-11-25 00:00:00,
06162F0101,10158,228,0.093579,2021-10-26 00:00:00,
06162F0101,00259,25,1.298262,2021-12-22 00:00:00,
06162F0101,00269,0,0.16,2020-12-31 15:27:03,
06162F0101,10222,2,1.06,2020-12-31 15:27:03,
06162F0101,35125,99,10.6875,2021-12-18 00:00:00,
06162F0101,10230,3,6.5,2020-12-31 15:27:03,
06162F0101,10246,30,1.355786,2021-07-30 00:00:00,
06162F0101,10249,62,10.983333,2021-02-27 00:00:00,
06162F0101,00393,790,0.016454,2021-12-28 00:00:00,
06162F0101,18091,89,2.36817,2021-10-26 00:00:00,
06162F0101,00627,60,1.024537,2021-10-26 00:00:00,
06162F0101,00671,0,0.075614,2021-02-27 00:00:00,
06162F0101,00673,140,0.05625,2021-09-25 00:00:00,
06162F0101,00725,10,3.9375,2021-12-22 00:00:00,
06162F0101,00750,3955,0.320153,2021-12-22 00:00:00,
06162F0101,00794,15,1.76808,2021-12-22 00:00:00,
06162F0101,00808,0,0.1299,2021-08-27 00:00:00,
06162F0101,18155,0,0.9,2020-12-31 15:27:03,
06162F0101,00900,210,0.064436,2021-07-30 00:00:00,
06162F0101,00903,0,0.049387,2021-09-25 00:00:00,
06162F0101,00910,295,0.315,2021-12-22 00:00:00,
06162F0101,00939,5,4.2,2020-12-31 15:27:03,
06162F0101,00946,561,1.0,2020-12-31 15:27:03,
06162F0101,00947,851,0.438674,2021-12-22 00:00:00,
06162F0101,01009,5,8.38856,2021-11-25 00:00:00,
06162F0101,18291,0,0.7,2020-12-31 15:27:03,
06162F0101,18153,0,0.8,2020-12-31 15:27:03,
06162F0101,18048,0,1.43,2020-12-31 15:27:03,
06162F0101,01053,61,2.224012,2021-10-26 00:00:00,
06162F0101,01205,33,0.904601,2021-10-26 00:00:00,
06162F0101,01256,42,6.1875,2021-10-26 00:00:00,
06162F0101,10355,7,0.48,2020-12-31 15:27:03,
06162F0101,10363,4,4.13,2020-12-31 15:27:03,
06162F0101,35515,0,0.675,2021-10-13 00:00:00,
06162F0101,15288,1,0.27,2020-12-31 15:27:03,
06162F0101,15287,1,0.27,2020-12-31 15:27:03,
06162F0101,01378,35,2.4,2020-12-31 15:27:03,
06162F0101,24334,0,7.88,2020-12-31 15:27:03,
06162F0101,29817,200,7.0875,2021-12-22 00:00:00,
06162F0101,01503,180,0.112499,2021-09-25 00:00:00,
06162F0101,15334,45,4.88,2020-12-31 15:27:03,
06162F0101,15336,4,2.66,2020-12-31 15:27:03,
06162F0101,10419,20,1.38,2020-12-31 15:27:03,
06162F0101,01522,2803,0.027596,2021-10-26 00:00:00,
06162F0101,19421,16,0.63,2021-11-25 00:00:00,
06162F0101,22256,226,0.632341,2021-11-25 00:00:00,
06162F0101,10477,214,3.16609,2021-11-25 00:00:00,
06162F0101,10482,178,0.630048,2021-11-25 00:00:00,
06162F0101,01628,0,3.248212,2021-07-30 00:00:00,
06162F0101,18156,12,1.29654,2021-09-25 00:00:00,
06162F0101,18158,10,1.125646,2021-08-21 00:00:00,
06162F0101,01705,0,17.425,2021-02-27 00:00:00,
06162F0101,01711,530,0.765191,2021-10-26 00:00:00,
06162F0101,01846,4000,0.130734,2021-12-28 00:00:00,
06162F0101,01925,0,9.8,2020-12-31 15:27:03,
06162F0101,01930,48,0.75,2020-12-31 15:27:03,
06162F0101,01964,891,0.277852,2021-10-26 00:00:00,
06162F0101,01958,13,1.25,2021-04-30 00:00:00,
06162F0101,01973,1,1.08,2021-09-25 00:00:00,
06162F0101,02128,505,0.119118,2021-11-25 00:00:00,
06162F0101,02132,15,1.121948,2021-12-22 00:00:00,
06162F0101,02149,3434,0.018147,2021-11-25 00:00:00,
06162F0101,31592,0,57.5,2020-12-31 15:27:03,
06162F0101,02319,246,0.967485,2021-11-25 00:00:00,
06162F0101,28800,15,12.5,2020-12-31 15:27:03,
06162F0101,19677,10,6.75,2020-12-31 15:27:03,
06162F0101,29804,1,87.5,2020-12-31 15:27:03,
06162F0101,02657,53,0.351284,2021-07-30 00:00:00,
06162F0101,02654,85,0.03,2020-12-31 15:27:03,
06162F0101,02642,520,0.132507,2021-12-22 00:00:00,
06162F0101,02641,0,0.31,2020-12-31 15:27:03,
06162F0101,02724,550,1.440256,2021-11-29 00:00:00,
06162F0101,03783,12,3.0,2020-12-31 15:27:03,
